Instance,Population Size,Mutation Probability,Total Fleet Size,Min Bus Line/Ind,Min Vertices in a Bus Line,Max Vertices in a Bus Line,Transfer Penalty,Unreached Stop Penalty,Best Solution Operator Cost,Best Solution Passanger Cost,Total Time
Mumford0,200,0.1,15,6,8,4,20,200,23.999999999999996,51.168970657002575,4589.105350017548
Mumford0,200,0.1,15,6,8,4,20,200,25.538095238095238,52.042202478372694,4507.092049360275
Mumford0,200,0.1,15,6,8,4,20,200,24.97142857142857,53.009907645545944,4652.5857582092285
Mumford0,200,0.1,15,6,8,4,20,200,26.650000000000002,53.917640869768526,4723.035197973251
Mumford0,200,0.1,15,6,8,4,20,200,22.75,56.342734393266305,4890.277109861374
Mumford0,200,0.1,15,6,8,4,20,200,24.65,50.49641980360065,4903.664350509644
Mumford0,200,0.1,15,6,8,4,20,200,25.2,58.87248655599719,5143.649214029312
Mumford0,200,0.25,15,6,8,4,20,120,26.0,48.73233282674772,4504.018736600876
Mumford0,200,0.25,15,6,8,4,20,120,23.816666666666666,55.012801028758474,4365.766532897949
Mumford0,200,0.25,15,6,8,4,20,120,26.1,52.96582008417115,4318.447807788849
Mumford0,200,0.25,15,6,8,4,20,120,24.714285714285715,48.52912380173019,4480.993438482285
Mumford0,200,0.25,15,6,8,4,20,120,22.87142857142857,51.55747311199439,4339.46564745903
Mumford0,200,0.25,15,6,8,4,20,120,25.85,55.83954874912322,4497.713527679443
Mumford0,200,0.25,15,6,8,4,20,120,24.133333333333333,50.4646948795885,4377.081606864929
Mumford0,200,0.25,15,6,8,4,20,120,26.53333333333333,54.91753857844284,4631.068418264389
Mumford0,200,0.25,15,6,8,4,20,120,24.666666666666668,52.34347965863923,4580.231788396835
Mumford0,200,0.25,15,6,8,4,20,120,23.166666666666664,52.41841536123451,4679.441175699234
Mumford0,200,0.25,15,6,8,4,20,120,23.916666666666668,48.44195697919102,4368.533611774445
Mumford0,200,0.25,15,6,8,4,20,120,21.573809523809523,56.70284369885434,4659.843590259552
Mumford0,200,0.25,15,6,8,4,20,120,23.833333333333332,51.07315291091887,4384.651757478714
Mumford0,200,0.25,15,6,8,4,20,120,23.5,51.22268821603928,4762.818115711212
Mumford0,200,0.25,15,6,8,4,20,120,26.5,51.770122165068976,4738.8721215724945
Mumford0,200,0.25,15,6,8,4,20,200,22.080952380952382,61.625102291325696,4457.641802787781
Mumford0,200,0.25,15,6,8,4,20,200,24.992857142857144,49.27498830956278,4449.168208122253
Mumford0,200,0.25,15,6,8,4,20,200,19.900000000000002,77.89342705167174,4353.088759899139
Mumford0,200,0.25,15,6,8,4,20,200,25.06666666666667,53.34453179798925,4457.519608259201
Mumford0,200,0.25,15,6,8,4,20,200,26.333333333333332,48.704348842646716,4747.150316953659
Mumford0,200,0.25,15,6,8,4,20,200,26.6,50.854337152209496,4716.33265376091
